"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 04 13:37:29 CST 2020","Tue Aug 04 13:37:30 CST 2020","926","TestCases","test_a_loginCase","TestLogin","","","test_fail[测试：用户名错误, 密码正确->[用户名:admin111-密码:admin2003-预期:用户名或密码错误]]","登录测试"
"passed","Tue Aug 04 13:37:25 CST 2020","Tue Aug 04 13:37:28 CST 2020","3198","TestCases","test_a_loginCase","TestLogin","","","test_login[测试：用户名正确, 密码正确->[用户名:admin-密码:admin2003-预期:文件]]","登录测试"
"passed","Tue Aug 04 13:37:30 CST 2020","Tue Aug 04 13:37:31 CST 2020","964","TestCases","test_a_loginCase","TestLogin","","","test_fail[测试：用户名错误, 密码错误->[用户名:admin123-密码:admin-预期:用户名或密码错误]]","登录测试"
"passed","Tue Aug 04 13:37:28 CST 2020","Tue Aug 04 13:37:29 CST 2020","1065","TestCases","test_a_loginCase","TestLogin","","","test_fail[测试：用户名正确, 密码错误->[用户名:admin-密码:admin-预期:用户名或密码错误]]","登录测试"
